Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Jeff Bagwell,150,59,15,76.7,46.7,61.7,51.5,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D9,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,4,0.266666666666667,0,1,0,0,1,0,0,0,1,1,2011,242,581
Larry Walker,148,58,17,69.7,43.1,56.4,55.4,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9387/D45,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,5,0.294117647058824,0,0,0,1,1,0,0,0,0,0,2011,118,581
Rafael Palmeiro,178,57,20,66.1,36.6,51.3,51.5,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*D7/98,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,4,0.2,1,0,1,0,0,0,0,0,0,0,2011,64,581
Juan Gonzalez,123,40,17,35.1,27,31,55.4,1689,6556,1061,1936,434,1404,26,457,0.295,0.343,0.561,0.904,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D*78,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,3,0.176470588235294,1,0,0,0,0,1,0,0,0,0,2011,30,581
John Franco,124,11,21,22.3,14.8,18.5,32.3,1119,34,2,3,0,1,0,0,0.088,0.088,0.088,0.176,-52,90,87,2.89,138,1.333,1119,0,424,1245.2,1166,81,495,975,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,4,0.19047619047619,0,0,0,0,0,0,0,0,0,0,2011,27,581
Kevin Brown,93,41,19,64.3,43.4,53.9,57.9,490,495,20,64,2,29,0,19,0.129,0.169,0.162,0.331,-11,211,144,3.28,127,1.222,486,476,0,3256.1,3079,208,901,2397,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,6,0.315789473684211,1,0,0,0,0,0,0,0,0,0,2011,12,581
Tino Martinez,41,26,16,25.1,19.6,22.3,51.5,2023,7111,1008,1925,339,1271,27,780,0.271,0.344,0.471,0.815,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,2,0.125,0,0,0,0,0,0,0,0,0,0,2011,6,581
John Olerud,68,39,17,53.7,36.8,45.3,51.5,2234,7592,1139,2239,255,1230,11,1275,0.295,0.398,0.465,0.863,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,2,0.117647058823529,0,0,1,0,0,0,0,0,0,0,2011,4,581
Al Leiter,42,21,19,37.4,30.9,34.2,57.9,419,530,15,45,0,16,0,35,0.085,0.142,0.102,0.243,-34,162,132,3.8,112,1.386,419,382,2,2391,2152,198,1163,1974,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,2,0.105263157894737,0,0,0,0,0,0,0,0,0,0,2011,4,581
Marquis Grissom,48,26,17,26.7,26.4,26.6,54.8,2165,8275,1187,2251,227,967,429,553,0.272,0.318,0.415,0.732,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*879/D,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,2,0.117647058823529,0,0,1,0,0,0,0,0,0,0,2011,4,581
B.J. Surhoff,30,27,19,30.3,20.4,25.4,50.7,2313,8258,1062,2326,188,1153,141,640,0.282,0.332,0.413,0.745,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*2*53D9/846,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,1,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,2011,2,581
Bret Boone,63,27,14,19.5,23.1,21.3,54.4,1780,6683,927,1775,252,1021,94,552,0.266,0.325,0.442,0.767,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/5D,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,3,0.214285714285714,0,0,1,0,0,0,0,0,0,0,2011,1,581
Benito Santiago,94,30,20,24.5,17.1,20.8,40.7,1978,6951,755,1830,217,920,91,430,0.263,0.307,0.415,0.722,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/37D,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,5,0.25,1,0,1,0,0,0,0,0,1,0,2011,1,581
Lenny Harris,8,9,18,0.7,7.1,3.9,53.4,1903,3924,460,1055,37,369,131,279,0.269,0.318,0.349,0.667,80,0,0,0,NA,0,1,0,0,1,0,0,0,1,*5*49736/D81,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,581
Bobby Higginson,19,19,11,20.2,19.4,19.8,50.7,1362,4910,736,1336,187,709,91,649,0.272,0.358,0.455,0.813,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*9D/8,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,581
Charles Johnson,24,28,12,21,18.2,19.6,40.7,1188,3836,465,940,167,570,6,475,0.245,0.33,0.433,0.762,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/D,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,2,0.166666666666667,0,0,1,0,0,0,0,0,0,0,2011,0,581
