Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Arky Vaughan,1941,as SS,1,4,4,2,3,0,0,2,4,0,0,0,0,0.75,0.75,2.25,3
Arky Vaughan,1940,as SS,1,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667
Arky Vaughan,1939,as SS,1,4,3,1,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833
Arky Vaughan,1938,,0,,,,,,,,,,,,,,,,
Arky Vaughan,1937,as 3B,1,5,5,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8
Arky Vaughan,1936,,0,,,,,,,,,,,,,,,,
Arky Vaughan,1935,as SS,1,4,3,1,1,1,0,0,0,0,0,1,0,0.333,0.5,0.667,1.167
Arky Vaughan,1934,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armando Benitez,2004,,0,,,,,,,,,,,,,,,,
Armando Benitez,2003,,0,,,,,,,,,,,,,,,,
Aroldis Chapman,2013,,0,,,,,,,,,,,,,,,,
Aroldis Chapman,2012,,1,,,,,,,,,,,,,,,,
Art Houtteman,1950,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Art Mahaffey,1962 (2),,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Art Mahaffey,1961 (2),,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Art Mahaffey,1961 (1),,0,,,,,,,,,,,,,,,,
Arthur Rhodes,2010,,0,,,,,,,,,,,,,,,,
Asdrubal Cabrera,2012,,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5
Asdrubal Cabrera,2011,as SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Atlee Hammaker,1983,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Augie Galan,1944,as LF,1,5,4,1,1,0,0,0,1,0,0,1,0,0.25,0.4,0.25,0.65
